Título,Autores
UM ALGORITMO HEURÍSTICO DE COMPLEXIDADE LINEAR PARA PLANARIZAÇÃO DE GRAFOS POR REMOÇÃO DE VÉRTICES,"Ademir Aparecido Constantino, Candido F. X. de Mendonca, Rodrigo Lankaites Pinheiro"
O Uso de Autocentralidades na Resolução do Problema de Isomorfismo de Grafos Regulares,"Diego Barcelos Rodrigues, Maria Cristina Rangel, Maria Claudia Silva Boeres"
"GRAFO K-SUPORTE, PRODUTO FUNCIONAL E COLORAÇÃO TOTAL EQUILIBRADA EM GRAFOS REGULARES","Abel Rodolfo Garcia Lozano, Angelo Santos Siqueira, Clícia Valladares Peixoto Friedmann, Samuel Jurkiewicz"
ALGORITMO DETERMINÍSTICO PARA RESOLVER EL PROBLEMA DEL TOUR ABIERTO DEL CABALLO SOBRE TABLEROS DE AJEDREZ n x n,"David Álvarez-Martínez, Rubén Augusto Romero Lázaro"
Inundação em Grafos,"Uéverton dos Santos Souza, Fábio Protti, Maise Dantas da Silva"
Partição Clique-Floresta dos grafos P4-laden estendidos,"Raquel Bravo, Sulamita Klein, Loana Nogueira"
COMPLETE COMMON NEIGHBORHOOD GRAPHS,"Andréa Soares Bonifácio, Romulo R. Rosa, Ivan Gutman, Nair Maria Maia de Abreu"
DYNAGRAPH: Um Modelo de Edição e Representação de Grafos Dinâmicos,"Anderson Calixto, Marcos Negreiros"
"Nonrepetitive, acyclic and clique colorings of graphs with few P4's","Eurinardo Rodrigues Costa, Rennan Ferreira Dantas, Rudini Menezes Sampaio"
Propriedades Espectrais dos Grafos do tipo Aranha,"Renata R. Del-Vecchio, Atila Arueira Jones"
UMA GENERALIZAÇÃO DE GRAFOS CAMINHO E LEQUE: O ESTUDO DA SUBCOLORAÇÃO,"Lilian Markenzon, Christina F. E. M. Waga"
SOBRE O PROBLEMA AUMENTO MÁXIMO DE CONECTIVIDADE ALGÉBRICA,"Camila Cristina Gomes Ferreira de Oliveira, Claudia Marcela Justel, Stanley Rodrigues"
ON CIRCULAR-ARC GRAPHS HAVING A MODEL WITH NO THREE ARCS COVERING THE CIRCLE,"Luciano Noberto Grippo, Martín Darío Safe"
IMPLEMENTAÇÕES PARALELAS PARA FECHO TRANSITIVO,"Raphael de Aquino Gomes, Elisângela Silva Dias, Márcia Rodrigues Cappelle Santana, Edson Norberto Cáceres, Wellington Santos Martins"
ALGORITMO PARA O PROBLEMA DE FLUXO MÁXIMO MULTITERMINAL,"João Paulo de Freitas Araujo, Fernanda Maria Pereira Raupp, Madiagne Diallo"
AN EDGE COLORING HEURISTIC BASED ON VIZING'S THEOREM,"Tiago Januario, Sebastián Urrutia"
"A complexidade do problema sanduíche para grafos fortemente cordais-(2,1)","Fernanda Couto, Luerbio Faria, Sulamita Klein"
SOBRE A CONECTIVIDADE ALGÉBRICA EM UMA SUBCLASSE DAS ÁRVORES DE TIPO II,"Claudia M. Justel, Stanley Rodrigues, Thiago de Paula Vasconcelos"
Problema de redes de transporte multimodal: uma abordagem utilizando a teoria dos conjuntos fuzzy,"Juliana Verga Shirabayashi, Akebo Yamakami, Ricardo Coelho Silva, Wesley Vagner Inês Shirabayashi"
GRAPH ANALYSIS FOR SPACE-TIME CLUSTER DETECTION,Marcelo Azevedo Costa
"Sobre os espectros das matrizes laplaciana, laplaciana normalizada e laplaciana sem sinal de um grafo","André Ebling Brondani, Andrea Soares Bonifácio, Carla Silva Oliveira, Nair Maria Maia de Abreu"
ALGUNS RESULTADOS EM GRAFOS PTOLEMAICOS,"Lilian Markenzon, Christina F. E. M. Waga"
UM ALGORITMO (1/2)-APROXIMATIVO PARA O PROBLEMA DO MÁXIMO SUBGRAFO ACÍCLICO SOB RESTRIÇÕES DISJUNTIVAS NEGATIVAS,"Sílvia Maria Santana Mapa, Sebastián Urrutia"
Algoritmos e Complexidade para Dois Jogos de Blocos,"André Castro Ramos, Rudini Sampaio"
Um Algoritmo Paralelo para o Problema de Caminhos Hamiltonianos em Grafos Kneser,"Andréia C. S. Gusmão, Letícia R. Bueno, Rodrigo A. Hausen"
A Complexidade do Problema do Corte Máximo para Grafos Fortemente Cordais,"Rubens Sucupira, Luerbio Faria, Sulamita Klein"
On the sum of the two largest signless Laplacian eigenvalues,"Paula Rama, Maria Paula Carvalho, Carla Oliveira, Leonardo de Lima"
Estudando a integralidade de grafos Hp-broom-like.,"Laura Patuzzi, Maria Aguieiras A. de Freitas, Renata Raposo Del-Vecchio"
HEURÍSTICA EFICIENTE PARA O PASSEIO ABERTO DO CAVALO A PARTIR DE CASAS ARBITRÁRIAS EM TABULEIROS QUADRADOS,"Vitor Silva Costa, Vinícius Gusmão Pereira de Sá"
Coloração orientada de grafos com grau máximo 3,"Hebert Coelho, Luerbio Faria, Sylvain Gravier, Sulamita Klein"
CICLOS E CAMINHOS LONGOS EM GRAFOS ÍMPARES,"Felipe de Campos Mesquita, Letícia Rodrigues Bueno"
Uma Heurística Baseada em Coloração de Arestas para o Problema de Programação de Tabelas para Competições Esportivas,"Tiago Januario, Sebastián Urrutia"
O Problema de Alocação de Tutores em Aplicações de Provas,"Frederico Sousa Epifanio, Eduardo Ogasawara, Jorge Soares, Myrna Amorim, Uéverton dos Santos Souza"
Conexão de Terminais com Número Restrito de Roteadores e Elos,"Mitre C. Dourado, Rodolfo A. Oliveira, Fábio Protti, Uéverton S. Souza"
$M_{3\times3}$-OBSTRUÇÃO MINIMAL DE COGRAFOS,"Raquel Bravo, Loana Nogueira, Fábio Protti, Clautenis Viana"
ÁRVORES DE DIÂMETRO 3 COM MENOR AUTOVALOR NÃO PRINCIPAL,"Francisca A. M. França, Cybele T. M. Vinagre, Nair M. M. de Abreu"
O número de Helly na convexidade geodética,"Moisés Teles Carvalho Junior, Mitre Costa Dourado, Jayme Luiz Szwarcfiter"
"A complexidade do problema sanduíche para grafos fortemente cordais-(k, l) e cordais-(k, l)","Fernanda Couto, Luerbio Faria, Sulamita Klein"
Minimizando Ramificações em Árvores Geradoras,"Adalton S. Almeida, Loana T. Nogueira, Vinícius G. Pereira de Sá"
A MUTUAL ACQUAINTANCE PARTY PROBLEM,"Romulo R. Rosa, Andréa Soares Bonifácio"
Fusion Tree Sorting,"Luis A. A. Meira, Rogério H. B. de Lima"
CONHECENDO A REDE DE COAUTORIA DOS BOLSISTAS DE PRODUTIVIDADE EM PESQUISA DA ÁREA DE ENGENHARIA DE PRODUÇÃO E A SUA INFLUÊNCIA NO NÍVEL DE PRODUTIVIDADE,"Ricardo Lopes de Andrade, Leandro Chaves Rêgo"
UMA ABORDAGEM PARALELA DO ALGORITMO DE FLOYD PARA SOLUÇÃO DO PROBLEMA DO CAMINHO MÍNIMO,"Rafael Castro de Souza, Alexsandro Trindade Sales da Silva, Wilamis Kleiton Nunes da Silva, Rennê Stephany Ferreira dos Santos, Francisco Milton Mendes Neto"
PROPRIEDADES E APLICAÇÕES DE GRAFOS DE CLIQUES CRÍTICAS,"Lilian Markenzon, Christina F. E. M. Waga"
DOIS PROBLEMAS DE LAYOUT EM GRAFOS CATERPILLAR,"Carolina S. de Carvalho, Lilian Markenzon, Luziane F. de Mendonça"
A systematic review of heuristics for symmetric-matrix bandwidth reduction: methods not based on metaheuristics,"Sanderson L. Gonzaga de Oliveira, Guilherme Oliveira Chagas"
Complexidade de Resolução de Deadlocks em Grafos de Espera de Sistemas Distribuídos,"Alan Diêgo Aurélio Carneiro, Fábio Protti, Uéverton dos Santos Souza"
EXTENSÃO ÓTIMA DA REDE DE DISTRIBUIÇÃO ELÉTRICA UTILIZANDO MODELOS DE REDES DE ACESSO LOCAL,"Paulo Wagner Lopes da Silva, Henrique Pacca Loureiro Luna"
UMA ANÁLISE COMPARATIVA ENTRE A CONFIABILIDADE DE UM CONJUNTO DE REDES REAIS E OS GRAFOS DE CONFIABILIDADE ÓTIMA,"Felipe Sousa Chaves, Carla Silva Oliveira, Leonardo da Silva Lima"
Aplicação de Métodos de Busca Guiada na Exploração do Espaço de Estados de Gramáticas de Grafos,"Alexandro Souza Ramos, Maria Claudia Silva Boeres, Eduardo Zambon"
An evaluation of several heuristics for bandwidth and profile reductions to reduce the computational cost of the preconditioned Conjugate Gradient Method,"Sanderson L. Gonzaga de Oliveira, Júnior Assis Barreto Bernardes, Guilherme Oliveira Chagas"
SOBRE VÉRTICES DO ESQUELETO DO POLITOPO DE EMPARELHAMENTOS DE UM GRAFO,"Nair M. M. de Abreu, Liliana M. G. C. da Costa, Carlos H. P. do Nascimento, Laura Patuzzi"
GERAÇÃO DE COGRAFOS COM ATRASO LINEAR,"Átila Arueira Jones, Fábio Protti, Renata Raposo Del-Vecchio"
"Caracterização dos Cografos-(4,0) por Subgrafos Proibidos com Restrições Externas","Raquel Bravo, Loana Nogueira, Fábio Protti, Jeanne Leite"
Proposta e Avaliação de Novas Heurísticas Para o Problema de Coloração de Vértices,"Thalyson Gomes Nepomuceno da Silva, Leonardo Sampaio Rocha, Gerardo Valdisio Rodrigues Viana"
Algoritmos para Resolução de Deadlocks em Grafos Subcúbicos,"Alan Diêgo Aurélio Carneiro, Fábio Protti, Uéverton dos Santos Souza"
O Número Envoltório de Prismas Complementares na Convexidade Geodética,"Erika M. M. Coelho, Hebert Coelho, Julliano R. Nascimento, Jayme L. Szwarcfiter"
Sobre Cortes em Grafos Aresta-Coloridos,"Luerbio Faria, Rubens Sucupira, Sulamita Klein, Ignasi Sau, Uéverton Souza"
Um Estudo sobre a Aplicação de Ordenações Topológicas no Problema de Alcançabilidade em Grafos Grandes,"Rodrigo Ferreira da Silva, Sebastián Alberto Urrutia"
"Geração de Obstruções Minimais de Grafos-(2, 1)","Matheus Souza D'Andrea Alves, Raquel Bravo, Loana T. Nogueira, Uéverton dos Santos Souza"
ESTUDO EXPERIMENTAL DA APLICAÇÃO DE ISOMORFISMO DE GRAFOS NO PROBLEMA DE VERIFICAÇÃO DE MODELOS,"Alessandra S. Anyzewski, Maria Claudia S. Boeres, Eduardo Zambon"
Investigando Mapeamentos entre Árvores Livres e Grafos Gêmeos,"Davi Fiorese Bissoli, Marcia Helena Moreira Paiva"
RELAÇÕES ENTRE O AUMENTO DA CONECTIVIDADE ALGÉBRICA E DA CONFIABILIDADE DE REDES UTILIZANDO O VETOR DE FIEDLER COMO ESTRATÉGIA DE INSERÇÃO DE ARESTAS,"Bruno Soares Barreto, Carla Silva Oliveira"
Variantes do Problema da Árvore de Steiner Aplicados à Internet das Coisas,"Rodolfo Alves de Oliveira, Marcelo Pitanga Alves, Andressa Martins Moraes"
Uma relação entre b-coloração e teoria espectral em cografos,"Átila Arueira Jones, Fábio Protti, Renata Raposo Del-Vecchio"
Aplicação de Medidas de Centralidade ao Método Louvain para Detecção de Comunidades em Redes Sociais,"Victoria Aires, Fabiola Nakamura"
UMA NOVA CENTRALIDADE: PROXIMIDADE ESPECTRAL,"Celso M. da Silva Jr., Maria A. A. de Freitas, Renata R. Del-Vecchio"
The Carathéodory number of the $P_{3}$ convexity of Cartesian product of graphs,"Márcia R. Cappelle, Erika M. M. Coelho, Hebert Coelho"
An algorithm for minimum identifying codes in some Cartesian products of graphs,"Rafael de A. Cruz, Márcia R. Cappelle"
Algoritmos para o cálculo da distância temporal em grafos temporais,"Junot Freire, Tiago Januario, Rafael Melo"
Aumento máximo da conectividade algébrica em árvores de diâmetro maior ou igual a 4,"Anderson Chaves da Silva, Claudia M. Justel"
Resolução de Deadlocks: Complexidade e Tratabilidade Parametrizada,"Alan Diêgo Aurélio Carneiro, Fábio Protti, Uéverton dos Santos Souza"
Algoritmos e complexidade computacional de problemas de listas colorações limitadas e a propriedade da selecionabilidade em grafos,"Simone Gama, Rosiane de Freitas, Mario Salvatierra"
On the hull number for complementary prisms of connected graphs G and G,"Diane Castonguay, Erika M. M. Coelho, Hebert Coelho, Julliano R. Nascimento"
AUTOVALORES DISTÂNCIA LAPLACIANOS DE ALGUMAS CLASSES DE ÁRVORES,"Diego de Souza Maceira Belay, Maria Aguieiras Alvarez de Freitas"
